dataset,target,model,perturbation,file,pct,seed,fold,start_time,end_time,test_accuracy@0.5,test_auprc,test_auroc,test_balanced_accuracy@0.5,test_f1@0.5,test_f2@0.5,test_minrp,test_precision@0.5,test_recall@0.5
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_5,5,2023,2,2026-03-28 15:01:57,2026-03-28 15:15:25,0.9416916916916916,0.1173009582537999,0.7694861486951717,0.5572999537100791,0.1588447653429603,0.1470588235294117,0.1801242236024844,0.1833333333333333,0.1401273885350318
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_6,6,2023,1,2026-03-28 14:55:13,2026-03-28 15:03:35,0.8598598598598599,0.1728735010399712,0.7590338914930834,0.6411942352536413,0.2650918635170604,0.3281351526965562,0.2290909090909091,0.2007952286282306,0.3899613899613899
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_20,20,2023,1,2026-03-28 14:57:54,2026-03-28 15:07:08,0.7094594594594594,0.3937755460262604,0.7523806471642748,0.7007234779821934,0.4782022471910112,0.5846153846153846,0.4077419354838709,0.3668965517241379,0.6864516129032258
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_9,9,2023,1,2026-03-28 14:56:23,2026-03-28 15:04:22,0.7344844844844844,0.2431658458571988,0.7626888150934523,0.7021114964147173,0.3194355355997434,0.4633420171194641,0.3031914893617021,0.2104818258664412,0.6622340425531915
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_10,10,2023,1,2026-03-28 14:56:24,2026-03-28 15:04:11,0.6984484484484484,0.2445782744457038,0.7545830646157224,0.6989180399851805,0.320360970107163,0.4747576061517887,0.2959427207637231,0.2077542062911485,0.6995073891625616
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_8,8,2023,1,2026-03-28 14:56:31,2026-03-28 15:03:00,0.79004004004004,0.2298619457920111,0.7622973394635626,0.6810619857866986,0.3105998356614626,0.4201867496665185,0.2915601023017903,0.2164948453608247,0.5494186046511628
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_40,40,2023,1,2026-03-28 14:59:23,2026-03-28 15:08:07,0.6066066066066066,0.608716189155879,0.74305874654471,0.6570828732294521,0.6204732013520039,0.74423722923665,0.5985303941215765,0.4858223062381852,0.8583834335337341
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_1,1,2023,1,2026-03-28 14:52:11,2026-03-28 14:56:01,0.9837337337337336,0.0290553936349498,0.7049038216934427,0.5,0.0,0.0,0.0393939393939393,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_2,2,2023,1,2026-03-28 14:51:57,2026-03-28 14:56:00,0.9742242242242244,0.0550178268438172,0.7301354933799526,0.5,0.0,0.0,0.0827586206896551,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_7,7,2023,1,2026-03-28 14:55:53,2026-03-28 15:03:08,0.8761261261261262,0.2182315523058146,0.7671933170891263,0.6106269087862048,0.2622950819672131,0.283322601416613,0.2507739938080495,0.2334217506631299,0.2993197278911564
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_5,5,2023,1,2026-03-28 14:53:47,2026-03-28 14:57:33,0.9444444444444444,0.1310755174524277,0.7156600161369637,0.5,0.0,0.0,0.1726190476190476,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_3,3,2023,1,2026-03-28 14:52:57,2026-03-28 15:01:17,0.9682182182182182,0.0749664283931339,0.7342473894045747,0.5,0.0,0.0,0.1041666666666666,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_30,30,2023,1,2026-03-28 14:57:54,2026-03-28 15:05:04,0.6701701701701702,0.5522240177717098,0.7571944789027283,0.6948298099819618,0.5870927318295739,0.6795764432840151,0.5498392282958199,0.4785495403472931,0.7593192868719612
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_4,4,2023,1,2026-03-28 14:53:43,2026-03-28 14:59:00,0.9569569569569568,0.0974147999278009,0.7377433043264353,0.4997386304234187,0.0,0.0,0.12890625,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_1_unbalanced_50,50,2023,1,2026-03-28 14:59:50,2026-03-28 15:10:49,0.6606606606606606,0.6797648557890058,0.7341185888920592,0.6697089055368965,0.6846511627906977,0.7465260168374075,0.6487647690655209,0.601552921945239,0.7943874797625472
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_0_unbalanced_3,3,2023,0,2026-03-28 14:45:45,2026-03-28 14:54:51,0.9717217217217218,0.0926846106900172,0.796315457211945,0.5,0.0,0.0,0.1401273885350318,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_0_unbalanced_30,30,2023,0,2026-03-28 14:49:02,2026-03-28 15:00:55,0.6814314314314315,0.5231261634215105,0.7577441192184314,0.6947328399401597,0.555671902268761,0.6458941901979877,0.5227272727272727,0.4507361268403171,0.724294813466788
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_0_unbalanced_5,5,2023,0,2026-03-28 14:46:24,2026-03-28 14:51:34,0.9512012012012012,0.1301872409959156,0.740795728959553,0.4994743758212878,0.0,0.0,0.1623036649214659,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_0_unbalanced_4,4,2023,0,2026-03-28 14:46:49,2026-03-28 14:53:20,0.9624624624624624,0.11288558984428,0.7689790258276997,0.5,0.0,0.0,0.1468926553672316,0.0,0.0
